codigo_secc,mun,prov,pob,renta_med,pobreza_pc,pobreza_menores_pc,pobreza_mayores_pc,precio_alquiler,jubilados_pc,parados_pc,monoparental_pc,extranjeros_pc,estudios_sup_pc,menores_pc,mayores_pc
0300902005,Alcoy/Alcoi,Alicante,679,16450,26,NA,NA,3.6,22.22,16.98,NA,9.72,37.31,11.19,24.74
0300902007,Alcoy/Alcoi,Alicante,1237,15050,19.8,NA,NA,3.54835020300795,20.14,21.06,10.227272727272728,7.44,25.9,17.299999999999997,21.1
0300902007,Alcoy/Alcoi,Alicante,1237,15050,19.8,NA,NA,3.54835020300795,20.14,21.06,10.795454545454543,7.44,25.9,17.299999999999997,21.1
0300903001,Alcoy/Alcoi,Alicante,789,15050,20.6,NA,NA,3.49397590361446,17.94,18.59,NA,5.7,23.59,10.27,19.9
0300903002,Alcoy/Alcoi,Alicante,1241,16450,17.3,NA,NA,3.33333333333333,23.45,15.38,8.928571428571429,8.3,23.64,14.099999999999998,22.97
0300903002,Alcoy/Alcoi,Alicante,1241,16450,17.3,NA,NA,3.33333333333333,23.45,15.38,9.523809523809524,8.3,23.64,14.099999999999998,22.97
0300903003,Alcoy/Alcoi,Alicante,1217,13650,22.7,NA,NA,3.28108829738792,26.76,24.46,11.363636363636363,7.07,19.62,10.35,28.35
0300903003,Alcoy/Alcoi,Alicante,1217,13650,22.7,NA,NA,3.28108829738792,26.76,24.46,11.931818181818182,7.07,19.62,10.35,28.35
0300903004,Alcoy/Alcoi,Alicante,1968,17850,9.1,NA,NA,3.76344086021505,21.74,13.74,9.88593155893536,3.2,31.28,17.48,21.04
0300903004,Alcoy/Alcoi,Alicante,1968,17850,9.1,NA,NA,3.76344086021505,21.74,13.74,9.88593155893536,3.2,31.28,17.48,21.04
0300903005,Alcoy/Alcoi,Alicante,1200,14350,25.2,NA,NA,3.76247774746553,18.08,23.45,NA,2.67,19.54,20.25,17.75
0300903006,Alcoy/Alcoi,Alicante,612,13650,27.3,NA,NA,NA,16.88,27.71,NA,4.74,16.509999999999998,11.93,16.669999999999998
0300904001,Alcoy/Alcoi,Alicante,800,18550,13.2,NA,NA,4.05185,19.88,14.14,NA,5.88,39.77,14.499999999999998,20.25
0300904002,Alcoy/Alcoi,Alicante,1596,17850,18.6,NA,NA,3.34498514067266,24.02,18.54,10.22222222222222,6.950000000000001,31.58,12.09,24.56
0300904002,Alcoy/Alcoi,Alicante,1596,17850,18.6,NA,NA,3.34498514067266,24.02,18.54,10.22222222222222,6.950000000000001,31.58,12.09,24.56
0300904003,Alcoy/Alcoi,Alicante,1115,14350,26.2,NA,NA,3.58490869729673,22.12,21.3,NA,14.17,26.27,13.63,25.380000000000003
0300904004,Alcoy/Alcoi,Alicante,1316,15050,19.4,NA,NA,3.57142857142857,29.53,23.549999999999997,10.309278350515465,8.59,20.26,10.71,32.14
0300904004,Alcoy/Alcoi,Alicante,1316,15050,19.4,NA,NA,3.57142857142857,29.53,23.549999999999997,10.824742268041238,8.59,20.26,10.71,32.14
0300904005,Alcoy/Alcoi,Alicante,756,13650,23.5,NA,NA,3.6611452283978,26.479999999999997,22.19,NA,13.489999999999998,13.77,12.57,30.819999999999997
0300904006,Alcoy/Alcoi,Alicante,1208,12950,28.3,NA,NA,3.24074074074074,23.19,22.68,12.429378531073446,16.31,17.78,12.91,26.57
0300904006,Alcoy/Alcoi,Alicante,1208,12950,28.3,NA,NA,3.24074074074074,23.19,22.68,11.864406779661016,16.31,17.78,12.91,26.57
0300904007,Alcoy/Alcoi,Alicante,829,12950,31.8,NA,NA,3.39632604492042,21.02,23.04,NA,14.96,22,14.48,24.37
0300904008,Alcoy/Alcoi,Alicante,1271,19950,8.8,NA,NA,3.61086359528038,28.43,14.79,NA,3.38,35.02,12.82,28.48
0300905001,Alcoy/Alcoi,Alicante,1426,18550,16,NA,NA,4.15245914477597,19.06,11.85,11.64021164021164,6.17,39.44,15.010000000000002,19.71
0300905001,Alcoy/Alcoi,Alicante,1426,18550,16,NA,NA,4.15245914477597,19.06,11.85,11.64021164021164,6.17,39.44,15.010000000000002,19.71
0300905002,Alcoy/Alcoi,Alicante,991,14350,26.3,NA,NA,3.60805860805861,20.3,22.770000000000003,NA,14.53,26.57,13.02,22.5
0300905003,Alcoy/Alcoi,Alicante,1493,15050,19.9,NA,NA,3.48902571540839,18.03,22.93,13.20754716981132,8.51,23.76,13.46,19.09
0300905003,Alcoy/Alcoi,Alicante,1493,15050,19.9,NA,NA,3.48902571540839,18.03,22.93,13.679245283018869,8.51,23.76,13.46,19.09
0300905004,Alcoy/Alcoi,Alicante,1085,12950,29.7,NA,NA,3.6564465408805,22.81,26.76,NA,15.48,19.85,12.72,24.52
0300905005,Alcoy/Alcoi,Alicante,968,15050,23.6,NA,NA,3.80696047889561,20.62,23.03,NA,10.12,22.99,12.81,22.31
0300905006,Alcoy/Alcoi,Alicante,1474,22050,6.1,NA,NA,3.93140589569161,9.7,10.41,NA,2.31,44.39,19.61,8.01
0300906001,Alcoy/Alcoi,Alicante,1461,16450,20.9,NA,NA,3.47413827880308,18.75,16.470000000000002,12.07729468599034,13.76,32.72,11.29,21.15
0300906001,Alcoy/Alcoi,Alicante,1461,16450,20.9,NA,NA,3.47413827880308,18.75,16.470000000000002,12.07729468599034,13.76,32.72,11.29,21.15
0300906002,Alcoy/Alcoi,Alicante,997,15050,22.3,NA,NA,3.90625,19,21.959999999999997,NA,8.93,25.82,11.84,21.26
0300906003,Alcoy/Alcoi,Alicante,1104,17150,16.5,NA,NA,3.73214285714286,23.07,15.2,NA,13.5,33.4,13.22,24.64
0300906004,Alcoy/Alcoi,Alicante,1252,16450,19,NA,NA,4.02063001518109,15.89,18.75,NA,10.94,33.87,16.05,16.93
0300906005,Alcoy/Alcoi,Alicante,658,19950,16.1,NA,NA,3.6758189523211,21.35,19.45,NA,14.29,38.54,12.46,23.25
0300907001,Alcoy/Alcoi,Alicante,1047,18550,10.3,NA,NA,2.92207792207792,23.96,16.33,NA,3.25,36.98,12.7,25.119999999999997
0300907002,Alcoy/Alcoi,Alicante,1833,15750,21.6,NA,NA,3.47619047619048,19.97,20.02,11.666666666666666,9.49,23.31,15.06,19.48
0300907002,Alcoy/Alcoi,Alicante,1833,15750,21.6,NA,NA,3.47619047619048,19.97,20.02,11.618257261410788,9.49,23.31,15.06,19.48
0300907003,Alcoy/Alcoi,Alicante,1141,15050,23.2,NA,NA,3.75,17.75,19.62,NA,7.27,19.2,15.07,18.84
0300907005,Alcoy/Alcoi,Alicante,1441,12250,35.6,NA,NA,3.46684791086236,35.76,35.160000000000004,15.57788944723618,8.469999999999999,8.58,9.37,44.27
0300907005,Alcoy/Alcoi,Alicante,1441,12250,35.6,NA,NA,3.46684791086236,35.76,35.160000000000004,15.5,8.469999999999999,8.58,9.37,44.27
0300907007,Alcoy/Alcoi,Alicante,750,14350,21.4,NA,NA,3.20844645550528,22.83,19.07,NA,11.6,19.73,9.47,24.13
0300907008,Alcoy/Alcoi,Alicante,1258,13650,26.3,NA,NA,3.35443037974684,15.89,23.380000000000003,10.778443113772456,11.21,19.64,19.48,16.06
0300907008,Alcoy/Alcoi,Alicante,1258,13650,26.3,NA,NA,3.35443037974684,15.89,23.380000000000003,10.778443113772456,11.21,19.64,19.48,16.06
0300908001,Alcoy/Alcoi,Alicante,2283,15750,20,NA,NA,3.41880341880342,18.58,19.05,12.131147540983608,9.77,24.09,14.19,18.7
0300908001,Alcoy/Alcoi,Alicante,2283,15750,20,NA,NA,3.41880341880342,18.58,19.05,11.80327868852459,9.77,24.09,14.19,18.7
0300908002,Alcoy/Alcoi,Alicante,1516,17850,14.4,NA,NA,4.82801320858558,11.92,14.27,9.04255319148936,7.59,37.25,24.74,11.61
0300908002,Alcoy/Alcoi,Alicante,1516,17850,14.4,NA,NA,4.82801320858558,11.92,14.27,9.04255319148936,7.59,37.25,24.74,11.61
