codigo_dist,mun,prov,pob,renta_med,pobreza_pc,pobreza_menores_pc,pobreza_mayores_pc,precio_alquiler,jubilados_pc,parados_pc,monoparental_pc,extranjeros_pc,estudios_sup_pc,menores_pc,mayores_pc
0304702,Calp,Alicante,11086,15050,29.4,36.1,22.7,7,18.67662226129002,18.790072350284607,6.929510155316607,61.559886343135474,18.21205172329421,10.968600036081543,31.724080822659207
0304801,Callosa d'en Sarrià,Alicante,2048,12250,37.7,NA,NA,3.2051282051282,15.35374823822142,25.238827837949923,NA,29.934296875,16.75108779378154,16.361269531250002,17.479511718749997
0304802,Callosa d'en Sarrià,Alicante,5629,13650,30.5,NA,NA,3.25638452102152,16.958218353128647,18.420822972904876,10.743801652892564,26.719262746491385,20.13855091854193,15.136383016521584,19.18744892520874
0304901,Callosa de Segura,Alicante,12362,12950,34.2,48.7,19.8,2.87483470654053,13.71230958996405,19.938531072371113,11.285574092247302,21.469318071509463,20.09906896742512,20.06839508170199,15.653781750525804
0304902,Callosa de Segura,Alicante,6912,12250,37.7,53.2,21.3,3,15.473086518786776,22.71718804370944,12.1301775147929,23.134730902777775,15.726323348240356,19.586137152777777,17.06054832175926
0305001,"Campello, el",Alicante,16491,15050,24.8,32.7,19.6,6.03043055555556,17.0775521121755,19.910851601809828,11.856127886323268,18.918598023164147,26.799777117686197,14.425878357892184,20.85217270026075
0305002,"Campello, el",Alicante,7985,20650,20,26.4,15,8.33744697966945,16.030850971684373,14.045276940968856,11.784511784511784,25.297208515967437,46.11716972198192,14.376712586098934,19.748968065122103
0305003,"Campello, el",Alicante,4630,15750,26.1,32,20.2,7.0658444687145,17.19520290229873,18.14259341469988,11.009174311926603,36.72034557235421,33.09053028343847,14.234168466522677,23.240172786177105
0305101,"Campo de Mirra/Camp de Mirra, el",Alicante,428,15050,NA,NA,NA,NA,17.87,15.42,NA,5.609999999999999,22.67,12.38,19.86
0305201,Cañada,Alicante,1191,15750,20.8,NA,NA,NA,19.17,11.48,NA,5.12,25.919999999999995,15.45,21.83
0305301,Castalla,Alicante,4104,15050,20.6,25.9,19.9,3.08376028566993,14.907638336187476,19.801456657838045,11.538461538461538,12.913401559454192,23.22821696862585,17.129078947368424,17.423021442495127
0305302,Castalla,Alicante,6694,15750,19.9,24.4,22.1,2.85714285714286,17.18764514469998,15.954929966212656,8.080808080808081,15.656220495966537,23.52300395643713,14.203513594263518,20.43517777113833
0305401,Castell de Castells,Alicante,427,13650,NA,NA,NA,NA,31.879999999999995,15.03,NA,18.97,19.28,8.9,36.53
0305501,Catral,Alicante,8940,12950,31.7,43.3,17.6,3.7037037037037,17.86825617463181,21.107549158018607,9.066427289048471,25.15471812080537,21.140968861789812,17.305108501118568,19.3145
0305601,Cocentaina,Alicante,9611,14350,25,NA,NA,3.08219178082192,19.89727198582444,20.776950295362365,11.510791366906474,12.744345021329726,21.535375936427272,14.920397461242327,21.704108833628133
0305602,Cocentaina,Alicante,1848,18550,15.7,NA,NA,NA,19.25,13.66,8.695652173913043,10.88,33.11,12.55,20.73
0305701,Confrides,Alicante,278,11550,NA,NA,NA,NA,30.12,24.78,NA,23.380000000000003,21.69,10.43,32.37
0305801,Cox,Alicante,7405,13650,28.9,43,14.7,3.12394530688603,15.59612004110385,15.111490364517865,12.171507607192254,18.16258879135719,17.17403751502892,18.608672518568536,15.421650236326808
0305901,Crevillent,Alicante,11793,12950,33,45.8,20.4,3.03030303030303,15.091277458793227,25.488355365770744,11.38861138861139,14.619601458492324,17.703122677154134,18.47693547019418,16.10303569914356
0305902,Crevillent,Alicante,4676,12950,33.8,47.3,19.7,3.21125265392781,15.933845821583352,24.390348140496094,10.92896174863388,12.597429426860565,16.8739084565226,18.26551753635586,16.834486740804106
0305903,Crevillent,Alicante,3062,11550,41.8,62.7,23.6,3,18.059497446574433,30.979797765329035,NA,15.087929457870674,15.02849538753284,16.980901371652514,18.486910516002613
