codigo_mun,mun,prov,pob,renta_med,pobreza_pc,pobreza_menores_pc,pobreza_mayores_pc,precio_alquiler,jubilados_pc,parados_pc,monoparental_pc,extranjeros_pc,estudios_sup_pc,menores_pc,mayores_pc
03044,Bigastro,Alicante,6972,13650,28.3,39.6,14,2.85912117773531,15.790050458285776,22.7935708552911,10.37735849056604,18.029107860011475,21.011986015397337,17.616549053356284,15.687621916236372
03045,Bolulla,Alicante,424,11550,NA,NA,NA,NA,20.51,19.02,NA,42.69,23.85,8.02,29.01
03046,Busot,Alicante,3191,14350,26.4,33.3,18.7,NA,17.14,18.52,8.735632183908047,35.57,29.08,13.35,23.06
03047,Calp,Alicante,23593,13650,32.6,43.8,23,5.91788650619564,15.661215354183872,23.854058754170858,8.71951219512195,50.96735345229517,16.16264512523055,13.519997033018267,23.6540423006824
03048,Callosa d'en Sarrià,Alicante,7677,12950,32.4,40.6,21,3.24435387667238,16.534717910958168,20.172127404365455,10.743801652892564,27.57694021101993,19.24442885428948,15.463147062654684,18.731821023837437
03049,Callosa de Segura,Alicante,19274,12250,35.5,50.4,20.4,2.92134831460674,14.34618623837224,20.9062145094445,11.733490566037736,22.066564802324372,18.524888108931208,19.89544879111757,16.158273321573102
03050,"Campello, el",Alicante,29106,16450,23.7,30.9,18.5,7.08428648255037,16.80912759662212,18.02321629501461,11.72447484123107,23.500309558166705,33.10218825047946,14.381894111179824,20.929385350099636
03051,"Campo de Mirra/Camp de Mirra, el",Alicante,428,15050,NA,NA,NA,NA,17.87,15.42,NA,5.609999999999999,22.67,12.38,19.86
03052,Cañada,Alicante,1191,15750,20.8,NA,NA,NA,19.17,11.48,NA,5.12,25.919999999999995,15.45,21.83
03053,Castalla,Alicante,10798,15750,20.2,25,21.3,3,16.33961558108792,17.45569421928866,8.852867830423941,14.61375625115762,23.413360388839532,15.315434339692535,19.29034636043712
03054,Castell de Castells,Alicante,427,13650,NA,NA,NA,NA,31.879999999999995,15.03,NA,18.97,19.28,8.9,36.53
03055,Catral,Alicante,8940,12950,31.7,43.3,17.6,3.7037037037037,17.86825617463181,21.107549158018607,9.05829596412556,25.15471812080537,21.140968861789812,17.305108501118568,19.3145
03056,Cocentaina,Alicante,11459,15050,23.4,33.7,16.5,3.08219178082192,19.790458940836107,19.574800856152727,10.597014925373134,12.443680949472032,23.445424367228313,14.538122000174535,21.547013701021033
03057,Confrides,Alicante,278,11550,NA,NA,NA,NA,30.12,24.78,NA,23.380000000000003,21.69,10.43,32.37
03058,Cox,Alicante,7405,13650,28.9,43,14.7,3.12394530688603,15.59612004110385,15.111490364517865,12.292817679558013,18.16258879135719,17.17403751502892,18.608672518568536,15.421650236326808
03059,Crevillent,Alicante,29659,12950,32.9,44.8,21.3,3.15142942227516,16.212464296172143,25.886894025970115,10.717571297148114,14.066928756869752,16.79018348206437,17.70725412185171,17.155818132775885
03060,Quatretondeta,Alicante,117,14350,NA,NA,NA,NA,40.37,12.2,NA,6.84,24.77,6.84,42.74
03061,Daya Nueva,Alicante,1777,12950,29.1,NA,NA,NA,20.62,19.58,8.8,27.35,14.79,13.22,25.55
03062,Daya Vieja,Alicante,698,14350,25.1,NA,NA,NA,23.77,17.02,NA,63.04,22.84,7.16,39.97
03063,Dénia,Alicante,43126,14350,27.7,35.1,20,5.49450549450549,15.723963353739304,20.2947698895984,12.166766887151734,29.68794300422019,29.718384966132707,14.232370959513982,19.452728284561516
03064,Dolores,Alicante,7614,12250,36.2,51.7,23.7,3.125,15.990267448157525,23.07683122938886,11.203319502074688,18.50461255581823,15.767754720658704,17.28409246125558,18.019403729971103
03065,Elche/Elx,Alicante,235566,13650,28.8,35.4,23.7,4.52401383894519,15.042806872690122,23.74043834687979,11.542689629901062,14.059723856583718,23.02146097294064,16.386925065586716,17.461559860081675
03066,Elda,Alicante,52580,12950,31.6,43.3,21.9,3.67966862745098,19.616262712651043,26.674417093209737,12.28448275862069,9.22267896538608,20.05910892234018,14.496804868771395,21.553054012932677
03067,Facheca,Alicante,104,17150,NA,NA,NA,NA,34.31,20,NA,7.69,21.57,1.92,37.5
03068,Famorca,Alicante,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
03069,Finestrat,Alicante,7428,14350,30.1,36.4,22.9,6.56816220880069,12.065881672343648,21.380995031598165,9.048507462686567,44.79003500269251,23.868406457689336,16.568559504577276,15.518800484652669
03070,Formentera del Segura,Alicante,4380,11550,39.7,55.3,23.6,5.07692307692308,15.588919822017129,23.83280346091999,7.9288025889967635,40.27269178082192,14.814962007445017,14.474351598173516,22.055947488584472
03071,Gata de Gorgos,Alicante,6241,13650,31.4,43.8,23.6,3.03030303030303,16.069646202872757,16.393116918603308,11.417322834645669,24.914481653581156,21.49555094154062,14.35751802595738,20.15508251882711
03072,Gaianes,Alicante,519,15750,21.1,NA,NA,NA,23.13,19.58,NA,12.33,26.53,15.03,22.16
03073,Gorga,Alicante,262,18550,NA,NA,NA,NA,26.340000000000003,13.239999999999998,NA,7.249999999999999,26.340000000000003,7.249999999999999,27.860000000000003
03074,Granja de Rocamora,Alicante,2601,13650,28.6,38.7,13.4,4.66666666666667,16.35,18.04,10.855263157894736,19.61,16.59,18.42,15.840000000000002
03075,"Castell de Guadalest, el",Alicante,245,16450,NA,NA,NA,3.83597883597884,17.18,11.57,NA,28.57,32.16,7.35,21.63
03076,Guardamar del Segura,Alicante,15850,14350,28.7,37.1,20.2,5.58441558441558,19.406191227610083,21.28634247025767,9.664607237422771,34.131378548895896,21.853414247976133,14.20352429022082,23.544683280757106
03077,"Fondó de les Neus, el/Hondón de las Nieves",Alicante,2636,13650,29.1,34,21.7,3.60738422072183,27.55,19.89,7.75,37.41,15.659999999999998,9.41,34.9
03078,Hondón de los Frailes,Alicante,1284,13650,34.5,NA,NA,NA,30.2,22.6,6.565656565656566,53.74,23.119999999999997,9.74,38.940000000000005
03079,Ibi,Alicante,23692,16450,16.3,20,15.4,3.40468719749241,17.368485113118957,18.192254983782536,9.916434540389972,9.513042799257134,22.446381711738965,14.949966655411108,19.48359994934999
03080,Jacarilla,Alicante,1948,14350,26.5,NA,NA,4.13772305421823,20.23,19.21,9.615384615384617,18.99,20.35,13.71,22.9
03081,Xaló,Alicante,2935,13650,31.1,38.4,22.3,3.93258426966292,23.38714069529982,15.9505719308625,8.59106529209622,40.23446337308348,19.611529458747217,13.324701873935265,30.05298126064736
03082,Jávea/Xàbia,Alicante,28782,13650,32.9,40.8,21.8,5.77227361246349,17.182231316552016,18.38475071137252,9.268292682926829,48.78606524911403,17.9422573717028,14.148116878604682,23.4199124452783
03083,Jijona/Xixona,Alicante,6882,16450,18.5,27.1,12.7,3.2258064516129,22.579774495243367,16.082208129662185,13.227513227513228,9.489488520778844,19.53969805432703,13.962476024411508,22.376294681778553
03084,"Lorcha/Orxa, l'",Alicante,581,17150,14.9,NA,NA,NA,29.72,13.85,NA,7.23,19.63,7.920000000000001,34.599999999999994
03085,Llíber,Alicante,960,13650,29.9,NA,NA,NA,26.729999999999997,11.61,NA,63.54,15.590000000000002,8.44,36.35
03086,Millena,Alicante,243,15050,NA,NA,NA,NA,23.449999999999996,16.96,NA,24.69,26.11,7.000000000000001,29.63000000000001
03088,Monforte del Cid,Alicante,8543,14350,23.1,27.7,19,3.4184429270778,12.5137444274736,15.777281049985652,9.270833333333334,13.799353856958914,23.76131684071938,17.488278122439425,13.64668032307152
03089,Monóvar/Monòver,Alicante,12185,12950,30.9,38,24.3,2.88720139218478,19.14262177090023,26.683411318874743,9.817671809256662,9.010818219121871,15.890372828866514,14.779519901518258,21.7722535904801
03090,Mutxamel,Alicante,25798,16450,19.6,23.2,16.8,5.19480519480519,13.33953505410346,15.44844462028962,11.422924901185771,15.241327234669354,31.76721547725572,17.222371501666796,15.046817970385302
03091,Murla,Alicante,533,14350,29,NA,NA,NA,28.72000000000001,14.84,NA,48.41,21.49,9.19,39.21
03092,Muro de Alcoy,Alicante,9329,15050,22.3,32.3,15.9,3.07446091644205,16.45845882461989,15.344752612297611,10.4959630911188,10.709631257369493,24.49157096775109,17.27863329402937,17.78439060992604
03093,Novelda,Alicante,25578,14350,24.1,30.3,18.9,3.24074074074074,15.630791685521514,20.96647175811374,11.723656664340544,9.706541559152395,21.13531641259022,14.927436859801391,18.496830479318163
03094,"Nucia, la",Alicante,18180,15050,26.5,31,21.8,5,13.01426299302124,20.31057192872264,10.822701275846898,34.092914741474154,23.947097132107213,17.21252200220022,16.61193619361936
03095,Ondara,Alicante,7082,14350,27.1,33.2,21.8,4,15.219868043399144,19.56159261357754,11.16504854368932,21.20810646709969,22.290074268700813,15.742062976560296,18.004430951708557
03096,Onil,Alicante,7612,16450,17.3,20.8,14.2,3.19148936170213,19.2675190204596,16.935078854582823,8.505747126436782,10.3511035207567,19.747268678240506,14.976153441933793,19.876682869153967
03097,Orba,Alicante,2288,13650,29.1,NA,NA,3.85188564476886,28.51,17.150000000000002,8.333333333333334,47.510000000000005,32.28,11.84,35.31
03098,Orxeta,Alicante,821,16450,21.8,NA,NA,3.40909090909091,19.41,19.739999999999995,NA,22.78,28.77,12.79,23.510000000000005
03099,Orihuela,Alicante,78486,13650,31.9,43.5,20.3,4.01785714285714,19.903891985391667,18.89895016950693,9.228578824747606,34.14003987972377,18.355898149912505,14.623511581683356,23.201357821777133
03100,Parcent,Alicante,1004,13650,30.6,NA,NA,NA,26.450000000000003,16.939999999999998,NA,43.63,26.450000000000003,8.86,33.86
03101,Pedreguer,Alicante,7968,14350,26,34.2,19.6,3.96596420554754,18.141433233450652,16.86844699112185,9.35374149659864,27.6846109437751,29.34444989358803,14.207796184738957,22.190239708835342
03102,Pego,Alicante,10247,15050,23.6,32,18.8,3.36538461538462,20.97734938744669,15.068491509313317,10.961810466760962,18.84478091148629,23.64820433702678,13.009621352591004,25.959750170781692
03103,Penàguila,Alicante,278,15050,NA,NA,NA,NA,27.78,12.8,NA,8.99,27.78,9.35,30.94
03104,Petrer,Alicante,34055,13650,25.8,31.6,21.1,3.6554378082242,16.048435486159025,24.30075761792313,11.639597834493426,5.050601086477757,20.08829864468768,16.126597562766115,16.713479958890034
03105,"Pinós, el/Pinoso",Alicante,8150,12950,32.7,42.8,25.6,3.01724137931034,14.773576859031436,19.09603302293494,10.584958217270197,18.037077300613497,15.978279306280625,15.291638036809816,19.091604907975466
03106,Planes,Alicante,697,14350,18.5,NA,NA,NA,34.74,13.78,NA,12.63,20.56,7.89,34.58
03107,Polop,Alicante,5095,14350,28.9,35.3,20,4.13502109704641,13.578871924548062,19.994943481147125,10.142857142857142,33.27216879293425,23.98156159205124,17.01602551521099,16.038282630029443
03109,Rafal,Alicante,4583,12950,33.9,50.5,13,3.44827586206897,14.809719102065941,21.135092216515613,11.553030303030305,17.846879773074406,17.955702622984692,18.962751472834388,13.510429849443597
03110,"Ràfol d'Almúnia, el",Alicante,674,15050,22.1,NA,NA,NA,22.780000000000005,13.41,NA,42.58,34.17,11.42,31.16
03111,Redován,Alicante,8025,12950,31.7,40.7,15.7,3.03061224489796,14.936263113228565,21.65337389312312,11.098265895953755,15.437227414330218,18.1538611032338,17.83108909657321,14.714644236760122
03112,Relleu,Alicante,1184,14350,29.9,NA,NA,NA,25.949999999999996,18.24,8.474576271186441,36.74,21.02,9.21,31.33
03113,Rojales,Alicante,16295,12250,37.7,53.2,20.9,4.91803278688525,24.038684308491348,19.9760530005766,5.458248472505091,68.0819791347039,7.733819298873777,10.02775207118748,37.56266032525314
03114,"Romana, la",Alicante,2530,12250,34.2,44.4,28.1,NA,22,20.53,9.6045197740113,24.62,16.03,12.69,27.71
03115,Sagra,Alicante,427,14350,NA,NA,NA,NA,28.980000000000004,17.580000000000002,NA,33.96,26.369999999999997,10.3,36.07
03116,Salinas,Alicante,1643,14350,23.7,NA,NA,NA,17.919999999999998,21.59,8.771929824561404,17.83,17.919999999999998,14.06,21.24
03117,Sanet y Negrals,Alicante,692,14350,27.9,NA,NA,NA,23.200000000000003,15.15,NA,35.980000000000004,25.92,9.68,35.260000000000005
03118,San Fulgencio,Alicante,8823,12250,38.5,53.8,24.8,3.1697159006396,31.611335047246147,22.06970486653561,5,66.07932335940157,8.57559695348408,8.568082284937097,42.845209112546755
03119,Sant Joan d'Alacant,Alicante,24354,17150,21.8,25.9,17.6,5.20833333333333,15.926372529981265,17.476447563846445,12.728602779809805,18.10010593742301,37.04096575185723,16.22776012154061,18.21472448057814
03120,San Miguel de Salinas,Alicante,6662,12250,38.7,51.9,24,3.125,24.17369246973851,20.327829113535127,7.594936708860759,53.887581807265086,11.679513063805878,13.136313419393575,29.676341939357545
03121,Santa Pola,Alicante,34453,14350,29.2,34.8,25.2,5.57081807081807,14.265556818282583,22.85513474613895,10.67753001715266,23.153144864017648,24.17030755030772,15.615860157315764,18.308540330305053
03122,San Vicente del Raspeig/Sant Vicent del Raspeig,Alicante,58925,15750,20.3,24.7,16.2,5.3616546213056004,12.903198268559956,18.36918999708624,11.559696342305038,10.856704115400934,29.842480445344343,16.9978179041154,15.20634518455664
03123,Sax,Alicante,9933,13650,25.8,32.6,25.3,3.21428571428571,15.71910954706908,21.998661766117007,10.31941031941032,8.032921574549482,16.665059544560364,15.78568307661331,18.514765931742673
03124,Sella,Alicante,579,16450,18.9,NA,NA,NA,23.06,9.96,NA,12.26,31.380000000000003,8.64,27.81
03125,Senija,Alicante,606,14350,31.4,NA,NA,NA,17.31,20.77,NA,33.5,19.62,14.19,21.95
03127,Tàrbena,Alicante,634,12950,34,NA,NA,NA,23.71,17.560000000000002,NA,37.7,21.649999999999995,8.200000000000001,32.81
03128,Teulada,Alicante,11608,12950,34.5,44.4,22.8,5.14623634688775,18.497769987662465,18.12544189253035,8.706166868198308,56.5655522053756,20.537458411636944,12.174803583735354,28.935777911784974
03129,Tibi,Alicante,1698,17150,15.6,NA,NA,NA,19.85,14.8,8.73015873015873,15.61,27.36,11.31,23.44
03130,Tollos,Alicante,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
03131,Tormos,Alicante,331,15750,NA,NA,NA,NA,32.01,11.02,NA,39.879999999999995,24.75,8.459999999999999,36.86
03132,"Torremanzanas/Torre de les Maçanes, la",Alicante,687,13650,26.9,NA,NA,NA,24.68,18.42,NA,18.63,28.18,8.59,28.239999999999995
03133,Torrevieja,Alicante,83740,11550,41.7,54.7,26.9,5.40540540540541,18.11340729254165,30.552243176556903,9.892657793044226,46.005773943157386,14.005408456822025,14.349323501313592,23.277771196560785
03134,"Vall d'Alcalà, la",Alicante,165,14000,NA,NA,NA,NA,30.25999999999999,15.85,NA,10.3,26.97,7.88,35.76
03135,"Vall d'Ebo, la",Alicante,207,17850,NA,NA,NA,NA,24.14,17.7,NA,13.04,29.06,1.93,32.37
03136,Vall de Gallinera,Alicante,505,15050,26.9,NA,NA,NA,29.41,11.26,NA,19.01,27.889999999999997,9.11,32.87
03137,"Vall de Laguar, la",Alicante,848,14350,28.2,NA,NA,NA,29.69,18.67,NA,18.16,28.520000000000003,9.43,36.559999999999995
03138,"Verger, el",Alicante,4856,13650,28.5,39.6,22.4,4.39243027888446,18.79480410407377,18.972984402946473,12.65625,23.087874794069194,18.578566171695744,14.663084843492587,21.991046128500823
03139,"Villajoyosa/Vila Joiosa, la",Alicante,34719,14350,26.9,37.7,19.3,5.74712643678161,14.988480823655207,24.948187924327357,11.096196868008947,22.682701690716897,23.335304021454313,14.963206601572626,18.211331259540884
03140,Villena,Alicante,33992,14350,24.8,33.7,20.5,3.33333333333333,17.30031624713032,21.57533151557877,10.695364238410596,9.408649976465052,23.88724773076442,16.044315721346198,18.649719639915276
03901,"Poblets, els",Alicante,2724,15050,24.4,28.9,17.5,NA,21.97,16.18,7.529411764705882,50.92000000000001,28.32,10.43,36.42
03902,Pilar de la Horadada,Alicante,22626,13650,29.4,40,19.4,4.33685320182962,16.511616432231833,16.69503800361351,8.628244017526121,40.24394148324936,14.735908895089166,16.266275965703173,21.45263634756475
03903,"Montesinos, Los",Alicante,5115,13650,31.9,42.3,21.5,4.164855466203,19.537502702485614,19.994555296554633,9.449929478138223,37.1624926686217,15.00799734938872,14.138146627565984,22.975519061583576
03904,San Isidro,Alicante,2139,13650,29.5,NA,NA,4.44701646090535,11.23,21.72,11.636363636363637,16.08,14.580000000000002,17.580000000000002,13.28
12001,Atzeneta del Maestrat,Castellón/Castelló,1292,17150,17,NA,NA,NA,30.95,9.01,10.052910052910052,9.91,24.59,11.22,31.730000000000004
12002,Aín,Castellón/Castelló,136,19250,NA,NA,NA,NA,31.25,7.040000000000001,NA,5.88,41.41,5.88,33.09
12003,Albocàsser,Castellón/Castelló,1262,15050,21.4,NA,NA,3.04947329537493,27.76,9.03,8.13953488372093,14.26,19.799999999999997,12.36,27.73
12004,Alcalà de Xivert,Castellón/Castelló,6877,13650,27.5,41.3,17.2,3.88888888888889,22.04137980151378,17.055089703806424,10.252808988764045,28.512387669041733,18.77722869848847,14.103676021521014,24.226648247782464
12005,"Alcora, l'",Castellón/Castelló,10450,18550,12,18,9.3,2.83174031777557,16.744574623825105,14.680206901404333,9.576427255985267,8.554328229665071,20.293037921897984,15.206224880382774,19.155947368421053
12006,Alcudia de Veo,Castellón/Castelló,197,17150,NA,NA,NA,NA,23.91,13.33,NA,4.569999999999999,22.28,6.6000000000000005,27.920000000000005
12007,Alfondeguilla,Castellón/Castelló,871,16450,16.4,NA,NA,NA,25.75,10.74,NA,4.130000000000001,25.75,12.17,25.72
12008,Algimia de Almonacid,Castellón/Castelló,239,14350,NA,NA,NA,3.64121640313061,33.62,17.119999999999997,NA,10.88,20.52,4.18,41
12009,Almassora,Castellón/Castelló,26890,16450,19.6,27,14.3,3.85281836374577,14.321760526216332,14.38106111571623,10.713286713286712,16.719765340275195,22.73294656878892,18.37910487169952,14.4770721457791
12010,Almedíjar,Castellón/Castelló,254,17150,NA,NA,NA,NA,30.42,11.38,NA,7.090000000000001,27.92,5.510000000000001,33.07
12011,Almenara,Castellón/Castelló,6253,17150,13.4,19.2,9.4,4.96764466002747,19.98778245918831,9.06029435968948,11.03448275862069,11.514121221813529,25.508504014838724,15.114394690548538,18.82128098512714
12012,Altura,Castellón/Castelló,3676,15050,23.9,33.2,21.6,3.08641975308642,19.21997868423131,14.08734194893156,12.719298245614034,12.42958922742111,23.074494087239653,16.646852557127314,20.56458922742111
12013,Arañuel,Castellón/Castelló,151,14350,NA,NA,NA,NA,28.570000000000004,16.39,NA,9.93,21.77,2.65,39.739999999999995
12014,Ares del Maestrat,Castellón/Castelló,175,17150,NA,NA,NA,NA,36.36,7.95,NA,2.86,24.24,5.71,38.86
12015,Argelita,Castellón/Castelló,147,17850,NA,NA,NA,NA,23.13,10.26,NA,11.56,32.09,8.84,25.17
12016,Artana,Castellón/Castelló,1963,17150,13.9,NA,NA,2.84090909090909,24.515706404597733,5.528056490713258,13.017751479289942,6.113815588385126,18.354480466949433,13.956067244014266,22.870804890473764
12017,Ayódar,Castellón/Castelló,158,17150,NA,NA,NA,NA,37.330000000000005,11.59,NA,3.16,21.33,5.06,41.77
12018,Azuébar,Castellón/Castelló,320,15750,NA,NA,NA,NA,28.52,15.44,NA,3.44,19.93,9.06,28.749999999999993
12020,Barracas,Castellón/Castelló,186,14350,NA,NA,NA,NA,24.53,9.89,NA,16.669999999999998,28.299999999999997,14.52,22.040000000000003
12021,Betxí,Castellón/Castelló,5649,17850,11,14.6,9.2,3.13897488820089,20.088551979954524,7.120151101208122,9.482758620689657,7.488472295981589,22.66045499511716,14.074368914852188,19.879148521862277
12022,Bejís,Castellón/Castelló,388,15050,NA,NA,NA,NA,30.48,11.56,NA,4.9,25.64,9.54,32.22
12024,Benafer,Castellón/Castelló,174,14350,NA,NA,NA,NA,19.869999999999997,22.830000000000005,NA,4.6,26.28,10.34,20.69
12025,Benafigos,Castellón/Castelló,146,16100,NA,NA,NA,NA,37.59000000000001,7.69,NA,9.59,16.31,3.42,42.47
12026,Benassal,Castellón/Castelló,1056,17150,17.6,NA,NA,2.26651763537009,27.229999999999997,9.64,NA,9.85,21.53,12.03,29.26
12027,Benicarló,Castellón/Castelló,27625,14350,27.8,42.4,14.9,4.4921595127718,18.57012529832551,16.894148459007422,10.83183722321963,23.626714932126696,23.389857878287476,16.86179076923077,18.9249614479638
12028,Benicasim/Benicàssim,Castellón/Castelló,19003,22050,12.8,16.1,9.5,6.07119095143047,16.340082485626397,11.37557234982778,10.292983808789517,16.346941009314317,50.77702272468536,15.266396884702417,17.880406777877177
12029,Benlloc,Castellón/Castelló,1075,15050,20.3,NA,NA,NA,22.99,11.46,NA,21.95,16.830000000000002,15.44,22.23
